,Country_Region,Confirmed,Deaths,Active,Deaths_per_100,iso3,Population,Lat,Long,Continent,Cases_per_million,Confirmed_last_week,Deaths_last_week,New_cases_last_week,New_deaths_last_week,Confirmed_last_month,Deaths_last_month,New_cases_last_month,New_deaths_last_month
83,Ireland,1509536.0,6996.0,0.0,0.46345367053187203,IRL,4937796.0,53.1424,-7.6921,Europe,305710.4829766155,1498834.0,6932.0,10702.0,64.0,1422945.0,6710.0,86591.0,286.0
84,Israel,4054335.0,10658.0,0.0,0.2628791158106077,ISR,8655541.0,31.046051,34.851612,Asia,468409.1959127685,4029066.0,10612.0,25269.0,46.0,3848014.0,10460.0,206321.0,198.0
85,Italy,16079209.0,162609.0,0.0,1.0112997473942904,ITA,60461828.0,41.87194,12.56738,Europe,265939.8422422822,15659835.0,161602.0,419374.0,1007.0,14304111.0,158700.0,1775098.0,3909.0
86,Jamaica,129489.0,2943.0,0.0,2.2727799272525075,JAM,2961161.0,18.1096,-77.2975,North America,43729.13191819019,129203.0,2926.0,286.0,17.0,128628.0,2875.0,861.0,68.0
87,Japan,7618107.0,29290.0,0.0,0.3844787163005192,JPN,126476458.0,36.204824,138.252924,Asia,60233.399325588325,7332261.0,28998.0,285846.0,292.0,6333118.0,27715.0,1284989.0,1575.0
88,Jordan,1695432.0,14059.0,0.0,0.8292281849109844,JOR,10203140.0,31.24,36.51,Asia,166167.66995258324,1694957.0,14055.0,475.0,4.0,1689314.0,14003.0,6118.0,56.0
89,Kazakhstan,1394330.0,19013.0,0.0,1.363593984207469,KAZ,18776707.0,48.0196,66.9237,Asia,74258.49484683338,1394190.0,19013.0,140.0,0.0,1393598.0,19008.0,732.0,5.0
90,Kenya,323696.0,5649.0,0.0,1.7451559487914585,KEN,53771300.0,-0.0236,37.9062,Africa,6019.865616044247,323609.0,5649.0,87.0,0.0,323365.0,5647.0,331.0,2.0
91,Kiribati,3076.0,13.0,0.0,0.4226267880364109,KIR,117606.0,-3.3704,-168.734,Oceania,26155.12813972076,3071.0,13.0,5.0,0.0,3065.0,13.0,11.0,0.0
92,"Korea, South",16895194.0,22133.0,0.0,0.13100175114887702,KOR,51269183.0,35.907757,127.766922,Asia,329538.9747092323,16305752.0,21092.0,589442.0,1041.0,11815841.0,14899.0,5079353.0,7234.0
